"","Rank","Name","Age"
"1",22,"John Mars",87
"2",32,"Elon R Musk",51
"3",65,"Jim Simons",84
"4",68,"He Xiangjian",80
"5",83,"Stefan Persson",75
"6",88,"Abby Johnson",42
"7",89,"Andrey Melnichenko",50
"8",93,"John Menard Jr",82
"9",96,"Carl Cook",59
"10",102,"Hugh Grosvenor",31
"11",105,"Li Shu Fu",59
"12",113,"Thomas Frist",84
"13",116,"Wang Wei",52
"14",119,"Autry Stephens",84
"15",120,"Jim Goodnight",79
"16",125,"Tan Siok Tjien",91
"17",133,"Ricardo Salinas",67
"18",137,"Steve Cohen",66
"19",140,"Stephen Ross",82
"20",144,"Liu Yonghao",71
"21",145,"Ken Griffin",54
"22",146,"Sara Mota de Larrea",69
"23",148,"Yongxing Liu",74
"24",155,"Carlos Sicupira",74
"25",158,"Pam Mars-Wright",62
"26",160,"Mohammed Al-Amoudi",76
"27",165,"August von Finck",91
"28",166,"Jim Kennedy",74
"29",170,"Charles Schwab",85
"30",176,"Jim Davis",77
"31",186,"Ned Johnson III",92
"32",188,"Charles Gerald John Cadogan",85
"33",191,"Wu Shaoxun",66
"34",193,"Zeng Yuqun",54
"35",195,"Sherry Brydson",72
"36",207,"Theo Albrecht Jr",72
"37",208,"Mohamed Al Jaber",63
"38",209,"Tim Sweeney",52
"39",227,"Heinrich Deichmann",59
"40",229,"Kei Hoi Pang",56
"41",231,"Vivien Chen",63
"42",237,"Scott Duncan",39
"43",238,"Jay Y Lee",54
"44",239,"Frederik Paulsen",72
"45",248,"Prakash Lohia",70
"46",255,"David Reuben",80
"47",258,"Finn Rausing",67
"48",263,"Natie Kirsh",90
"49",268,"Joao Moreira Salles",60
"50",269,"Fernando Moreira Salles",76
"51",270,"Niels Louis-Hansen",75
"52",272,"George Roberts",78
"53",273,"Lu Weiding",51
"54",274,"Joe Lewis",85
"55",276,"Bob Rich",81
"56",287,"James Chambers",65
"57",291,"Kim Jungju",54
"58",294,"John P Grayken",66
"59",295,"Ray Hunt",79
"60",302,"Nie Tengyun",46
"61",303,"Sultan Al Kabeer",68
"62",313,"Yasumitsu Shigeta",57
"63",314,"David Shaw",71
"64",317,"Tamara Hughes Gustavson",61
"65",319,"Tan Kim Choo",95
"66",321,"Cai Kui",59
"67",322,"JK Irving",94
"68",327,"David Thomson",65
"69",328,"Theo Mueller",82
"70",334,"Jeff Sutton",62
"71",336,"Leonard Stern",84
"72",340,"Pansy Catilina Ho",60
"73",343,"Andrew Currie",66
"74",346,"Anil Agarwal",68
"75",349,"Trevor Rees-Jones",54
"76",350,"Zhang Yong",51
"77",351,"Shu Ping",52
"78",353,"Taylor Thomson",62
"79",357,"Alain Merieux",84
"80",358,"Peter Thomson",74
"81",361,"Kenneth Dart",67
"82",362,"Helen Johnson-Leipold",65
"83",369,"Anthony Pratt",62
"84",371,"Ermirio de Moraes",89
"85",372,"Maria Helena Moraes",92
"86",373,"Rahel Blocher",46
"87",377,"Herbert Johnson III",72
"88",379,"Curt Johnson III",67
"89",380,"Harald Tschira",49
"90",381,"Udo Tschira",46
"91",385,"Kjeld Kristiansen",74
"92",387,"Charles Johnson",89
"93",391,"Sumet Jiaravanon",88
"94",393,"Jaran Chiaravanont",93
"95",394,"Sofie Kiaer Kristiansen",45
"96",395,"Agnete Thinggaard",39
"97",399,"Thomas Kristiansen",43
"98",405,"Montri Jiaravanont",90
"99",406,"Yao Liangsong",58
"100",408,"David Sun",71
"101",415,"Tom Morris",68
"102",416,"Rupert Johnson",81
"103",420,"Maja Hoffmann",66
"104",424,"Abdullah Al Ghurair",92
"105",426,"Andre Hoffmann",64
"106",427,"Sarath Ratanavadi",57
"107",433,"Michael Herz",79
"108",434,"Wolfgang Herz",72
"109",439,"Ross Perot",89
"110",447,"Rafael del Pino",88
"111",448,"Thomas Strungmann",72
"112",453,"Whitney MacMillan",91
"113",458,"Traudl Engelhorn-Vechiatto",94
"114",460,"David Siegel",87
"115",463,"Bill Koch",82
"116",464,"Walter Faria",67
"117",467,"Sergey Galitskiy",55
"118",473,"Tung Chien-Cheng",58
"119",475,"Robert Smith",59
"120",476,"Michael Otto",79
"121",479,"Elizabeth Johnson",80
"122",480,"Ned Johnson" IV,57
"123",482,"Peter-Alexander Wacker",71
"124",487,"John Brown",88
"125",489,"Jiravat Yoovidhya",88
"126",490,"Wang Wenyin",54
"127",491,"Mary Malone",72
"128",493,"Red Emmerson",93
"129",495,"Jorge Moll",76
"130",497,"Anthony Chey",61
"131",499,"Guenter Herz",82
