"","initial","final"
"611","Aircraft Leasing","Services"
"612","Construction, Media","Diversified"
"613","Timberland, Lumber Mills","Industrial"
"614","Roofing","Consumer"
"615","Elevators, Escalators","Services"
"616","Sports Concessions","Entertainment"
"617","Apparel Retail","Retail"
"618","Utilities, Telecom","Media & Telecom"
"619","Movies","Entertainment"
"620","Computer Services/Telecoms","Services"
"621","Shopping Centers","Consumer"
"622","Alibaba","Consumer"
"623","BMW, Pharmaceuticals","Diversified"
"624","Automotive","Industrial"
"625","Internet Services","Media & Telecom"
"626","Software Services","Technology"
"627","Hinduja Group","Diversified"
"628","SM Investments Corporation","Finance"
"629","Steel, Telecom, Investments","Diversified"
"630","Satellite TV","Technology"
"631","Telecom, Oil","Diversified"
"632","Palm Oil, Shipping, Real Estate","Diversified"
"633","Estée Lauder","Retail"
"634","Consulting","Services"
"635","Uber Technologies","Services"
"636","Snacks, Beverages","Food & Beverage"
"637","Armani","Retail"
"638","Real Estate, Finance","Finance"
"639","Smartphone Glass Covers","Industrial"
"640","Hotels, Energy","Diversified"
"641","Conglomerate","Diversified"
"642","Online Retail","Consumer"
"643","Metalworking Tools","Industrial"
"644","Pontiac Land Group","Real Estate"
"645","Autoparts","Industrial"
"646","Online Video","Media & Telecom"
"647","Flavorings","Food & Beverage"
"648","Record Label","Media & Telecom"
"649","Hospitals","Real Estate"
"650","Venture Capital","Finance"
"651","Mining, Metals, Machinery","Diversified"
"652","Campbell Soup","Food & Beverage"
"653","Home Improvement Stores","Retail"
"654","Kitchen Appliances","Industrial"
"655","Consumer Products","Consumer"
"656","Construction, Chemicals","Diversified"
"657","Fertilizers","Industrial"
"658","Agriculture","Industrial"
"659","Drones","Technology"
"660","Subway Sandwich Shops","Consumer"
"661","Toyota Dealerships","Finance"
"662","Frozen Foods","Consumer"
"663","TV Network, Investments","Diversified"
"664","Coffee Makers","Consumer"
"665","Sporting Goods","Industrial"
"666","Soy Sauce Maker","Consumer"
"667","Energy Drinks","Food & Beverage"
"668","Airbnb","Services"
"669","Chick-Fil-A","Food & Beverage"
"670","Nutella, chocolates","Food & Beverage"
"671","automotive","Industrial"
"672","Dell computers","Technology"
"673","satellite TV","Technology"
"674","oil, gas","Energy"
"675","package delivery","Services"
"676","drinks, real estate","Diversified"
"677","software services","Services"
"678","mining, copper products","Industrial"
"679","newspapers, TV network","Media & Telecom"
"680","home appliances","Industrial"
"681","palm oil, shipping, property","Diversified"
"682","conglomerate","Diversified"
"683","eBay","Retail"
"684","footwear","Consumer"
"685","consulting","Consumer"
"686","smartphone screens","Consumer"
"687","movies, record labels","Entertainment"
"688","banking, property","Finance"
"689","hotels, energy","Diversified"
"690","aluminum products","Industrial"
"691","snacks, beverages","Food & Beverage"
"692","paints","Industrial"
"693","telecoms, media, oil-services","Diversified"
"694","Uber","Services"
"695","pizza, sports team","Diversified"
"696","chemicals, logistics","Diversified"
"697","commodities, ports","Diversified"
"698","telecom, oil","Diversified"
"699","beer, investments","Diversified"
"700","online retail","Retail"
"701","construction, chemicals","Diversified"
"702","metalworking tools","Industrial"
"703","tequila","Food & Beverage"
"704","motor vehicles","Industrial"
"705","palm oil, property","Diversified"
"706","real estate, finance","Diversified"
"707","manufacturing, investments","Diversified"
"708","consumer products","Consumer"
"709","online gambling","Technology"
"710","concessions","Diversified"
"711","FedEx","Services"
"712","heating equipment","Industrial"
"713","sporting goods","Industrial"
"714","kitchen appliances","Industrial"
"715","duty-free","Retail"
"716","batteries, automobiles","Industrial"
